index_id;index;read;hit;data_hora
2667;pg_constraint_oid_index;1;0;2021-10-09T16:05:19.249578600
2579;pg_constraint_conparentid_index;1;0;2021-10-09T16:05:19.249578600
2661;pg_cast_source_target_index;2;1502;2021-10-09T16:05:19.249578600
2672;pg_database_oid_index;2;1118;2021-10-09T16:05:19.249578600
2671;pg_database_datname_index;2;700;2021-10-09T16:05:19.249578600
2679;pg_index_indexrelid_index;2;587;2021-10-09T16:05:19.250078400
2687;pg_opclass_oid_index;2;567;2021-10-09T16:05:19.250078400
2696;pg_statistic_relid_att_inh_index;2;233;2021-10-09T16:05:19.250078400
2678;pg_index_indrelid_index;2;226;2021-10-09T16:05:19.250078400
2686;pg_opclass_am_name_nsp_index;2;216;2021-10-09T16:05:19.250078400
2684;pg_namespace_nspname_index;2;126;2021-10-09T16:05:19.250078400
2693;pg_rewrite_rel_rulename_index;2;108;2021-10-09T16:05:19.250078400
2677;pg_authid_oid_index;2;104;2021-10-09T16:05:19.250078400
2839;pg_toast_2618_index;2;103;2021-10-09T16:05:19.250078400
2676;pg_authid_rolname_index;2;90;2021-10-09T16:05:19.250078400
2697;pg_tablespace_oid_index;2;72;2021-10-09T16:05:19.250078400
2685;pg_namespace_oid_index;2;39;2021-10-09T16:05:19.250578500
2694;pg_auth_members_role_member_index;2;13;2021-10-09T16:05:19.250578500
2650;pg_aggregate_fnoid_index;2;2;2021-10-09T16:05:19.250578500
1233;pg_shdepend_reference_index;2;0;2021-10-09T16:05:19.250578500
1232;pg_shdepend_depender_index;2;0;2021-10-09T16:05:19.250578500
2841;pg_toast_2619_index;2;0;2021-10-09T16:05:19.250578500
2703;pg_type_oid_index;3;1053;2021-10-09T16:05:19.250578500
2655;pg_amproc_fam_proc_index;3;971;2021-10-09T16:05:19.250578500
2653;pg_amop_fam_strat_index;3;847;2021-10-09T16:05:19.250578500
2654;pg_amop_opr_fam_index;3;553;2021-10-09T16:05:19.250578500
2673;pg_depend_depender_index;3;10;2021-10-09T16:05:19.250578500
2662;pg_class_oid_index;4;1978;2021-10-09T16:05:19.250578500
2688;pg_operator_oid_index;4;266;2021-10-09T16:05:19.251078600
2689;pg_operator_oprname_l_r_n_index;5;57;2021-10-09T16:05:19.251078600
2704;pg_type_typname_nsp_index;5;17;2021-10-09T16:05:19.251078600
2663;pg_class_relname_nsp_index;6;278;2021-10-09T16:05:19.251078600
2659;pg_attribute_relid_attnum_index;9;4539;2021-10-09T16:05:19.251078600
2690;pg_proc_oid_index;11;1251;2021-10-09T16:05:19.251078600
2691;pg_proc_proname_args_nsp_index;16;92;2021-10-09T16:05:19.251078600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.939734600
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940234700
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
null;null;null;null;2021-10-09T16:08:07.940734800
